id,title,authors,venue,year,citationCount,referenceCount,influentialCitationCount,doi,url
c6f002b73ffe647ef0effd17c9bfbd5cd7adac7d,Exponentially Increasing the Capacity-to-Computation Ratio for Conditional Computation in Deep Learning,Kyunghyun Cho; Yoshua Bengio,arXiv.org,2014,44,29,1,,https://www.semanticscholar.org/paper/c6f002b73ffe647ef0effd17c9bfbd5cd7adac7d
d8c35c2c39fdd2ec6af37ddc8c51deb396aefef8,Low precision arithmetic for deep learning,Matthieu Courbariaux; Yoshua Bengio; J. David,International Conference on Learning Representations,2014,175,0,13,,https://www.semanticscholar.org/paper/d8c35c2c39fdd2ec6af37ddc8c51deb396aefef8
dc8301b67f98accbb331190dd7bd987952a692af,NICE: Non-linear Independent Components Estimation,Laurent Dinh; David Krueger; Yoshua Bengio,International Conference on Learning Representations,2014,2676,35,296,,https://www.semanticscholar.org/paper/dc8301b67f98accbb331190dd7bd987952a692af
dcb75b83cfeaddc6e0a596b9d9761c63935ef013,Marginalized Denoising Auto-encoders for Nonlinear Representations,Minmin Chen; Kilian Q. Weinberger; F. Sha; Yoshua Bengio,International Conference on Machine Learning,2014,144,34,14,,https://www.semanticscholar.org/paper/dcb75b83cfeaddc6e0a596b9d9761c63935ef013
fa1213960a755fcc5efab9e07d57dcccc0dc6edc,On the Equivalence between Deep NADE and Generative Stochastic Networks,L. Yao; Sherjil Ozair; Kyunghyun Cho; Yoshua Bengio,ECML/PKDD,2014,9,28,3,10.1007/978-3-662-44845-8_21,https://www.semanticscholar.org/paper/fa1213960a755fcc5efab9e07d57dcccc0dc6edc
fa72afa9b2cbc8f0d7b05d52548906610ffbb9c5,Neural Machine Translation by Jointly Learning to Align and Translate,Dzmitry Bahdanau; Kyunghyun Cho; Yoshua Bengio,International Conference on Learning Representations,2014,29984,33,2616,,https://www.semanticscholar.org/paper/fa72afa9b2cbc8f0d7b05d52548906610ffbb9c5
fc303b3b0be5b476ae5f3d8414b685e91d0378c6,BilBOWA: Fast Bilingual Distributed Representations without Word Alignments,Stephan Gouws; Yoshua Bengio; G. Corrado,International Conference on Machine Learning,2014,396,25,58,,https://www.semanticscholar.org/paper/fc303b3b0be5b476ae5f3d8414b685e91d0378c6
03f34688ef4ee4239464633784235387e9bff4bb,Deep Learning of Representations,Yoshua Bengio; Aaron C. Courville,Handbook on Neural Information Processing,2013,79,167,3,10.1007/978-3-642-36657-4_1,https://www.semanticscholar.org/paper/03f34688ef4ee4239464633784235387e9bff4bb
0407b605b8f55db72e2545586bfe8e946b691b70,An Empirical Investigation of Catastrophic Forgeting in Gradient-Based Neural Networks,I. Goodfellow; Mehdi Mirza; Xia Da; Aaron C. Courville; Yoshua Bengio,International Conference on Learning Representations,2013,1695,19,102,,https://www.semanticscholar.org/paper/0407b605b8f55db72e2545586bfe8e946b691b70
0c81b05a6e0cf7063f02a24cf2862232eac2a740,Unsupervised and Transfer Learning under Uncertainty - From Object Detections to Scene Categorization,Grégoire Mesnil; Salah Rifai; Antoine Bordes; Xavier Glorot; Yoshua Bengio; P. Vincent,International Conference on Pattern Recognition Applications and Methods,2013,11,42,0,10.5220/0004227803450354,https://www.semanticscholar.org/paper/0c81b05a6e0cf7063f02a24cf2862232eac2a740
10a6f02f4f62ee582481f2a8e0d82bf3deb28602,Stacked calibration of off-policy policy evaluation for video game matchmaking,Eric Thibodeau-Laufer; Raul Chandias Ferrari; Li Yao; Olivier Delalleau; Yoshua Bengio,IEEE Conference on Computational Intelligence and Games,2013,0,43,0,10.1109/CIG.2013.6633642,https://www.semanticscholar.org/paper/10a6f02f4f62ee582481f2a8e0d82bf3deb28602
1b3aab4ff8f77b81501f271877321609cc1a1a2b,Learned-Norm Pooling for Deep Feedforward and Recurrent Neural Networks,Çaglar Gülçehre; Kyunghyun Cho; Razvan Pascanu; Yoshua Bengio,ECML/PKDD,2013,185,46,12,10.1007/978-3-662-44848-9_34,https://www.semanticscholar.org/paper/1b3aab4ff8f77b81501f271877321609cc1a1a2b
2064c2a33eb0b4c8acd23fd60b98c12d6c1ad61e,On the Challenges of Physical Implementations of RBMs,Vincent Dumoulin; I. Goodfellow; Aaron C. Courville; Yoshua Bengio,AAAI Conference on Artificial Intelligence,2013,61,22,2,10.1609/aaai.v28i1.8924,https://www.semanticscholar.org/paper/2064c2a33eb0b4c8acd23fd60b98c12d6c1ad61e
25cab9f7ad4f205d8502edb580734b2abe5f2e39,Multimodal Transitions for Generative Stochastic Networks,Sherjil Ozair; L. Yao; Yoshua Bengio,International Conference on Learning Representations,2013,11,33,0,,https://www.semanticscholar.org/paper/25cab9f7ad4f205d8502edb580734b2abe5f2e39
2f7ad26514bce4df6c8ebc42c90383ef3a974df4,Pylearn2: a machine learning research library,I. Goodfellow; David Warde-Farley; Pascal Lamblin; Vincent Dumoulin; Mehdi Mirza; Razvan Pascanu; J. Bergstra; Frédéric Bastien; Yoshua Bengio,arXiv.org,2013,305,56,13,,https://www.semanticscholar.org/paper/2f7ad26514bce4df6c8ebc42c90383ef3a974df4
306c7cd74beda5a09662b5f289bba50a2b5ea308,Big Neural Networks Waste Capacity,Yann Dauphin; Yoshua Bengio,International Conference on Learning Representations,2013,87,17,3,,https://www.semanticscholar.org/paper/306c7cd74beda5a09662b5f289bba50a2b5ea308
3832057ac487f43e885cdb485a6ca1462834bb8d,Estimating or Propagating Gradients Through Stochastic Neurons,Yoshua Bengio,arXiv.org,2013,132,18,11,,https://www.semanticscholar.org/paper/3832057ac487f43e885cdb485a6ca1462834bb8d
415a0c1637dca3292298ecd68710edeb6719c775,Learning deep physiological models of affect,H. P. Martínez; Yoshua Bengio; Georgios N. Yannakakis,IEEE Computational Intelligence Magazine,2013,263,75,16,10.1109/MCI.2013.2247823,https://www.semanticscholar.org/paper/415a0c1637dca3292298ecd68710edeb6719c775
41f50d08e4c237d0f192f5c09f78d7e1d09d9cef,Scaling Up Spike-and-Slab Models for Unsupervised Feature Learning,I. Goodfellow; Aaron C. Courville; Yoshua Bengio,IEEE Transactions on Pattern Analysis and Machine Intelligence,2013,35,43,2,10.1109/TPAMI.2012.273,https://www.semanticscholar.org/paper/41f50d08e4c237d0f192f5c09f78d7e1d09d9cef
4d9c11f792b98a69f5ccd3a53031b8ea6359820b,Combining modality specific deep neural networks for emotion recognition in video,Samira Ebrahimi Kahou; C. Pal; Xavier Bouthillier; Pierre Froumenty; Çaglar Gülçehre; R. Memisevic; Pascal Vincent; Aaron C. Courville; Yoshua Bengio; Raul Chandias Ferrari; Mehdi Mirza; Sébastien Jean; P. Carrier; Yann Dauphin; Nicolas Boulanger-Lewandowski; Abhishek Aggarwal; Jeremie Zumer; Pascal Lamblin; Jean-Philippe Raymond; Guillaume Desjardins; Razvan Pascanu; David Warde-Farley; Atousa Torabi; Arjun Sharma; Emmanuel Bengio; K. Konda; Zhenzhou Wu,International Conference on Multimodal Interaction,2013,399,22,16,10.1145/2522848.2531745,https://www.semanticscholar.org/paper/4d9c11f792b98a69f5ccd3a53031b8ea6359820b
